actor_name,movie_count,avg_popularity
Anne Hathaway,4,24.102649999999997
Jack Black,3,5.720233333333333
Elijah Wood,3,4.463333333333333
Chris Hemsworth,3,10.0157
Mark Ruffalo,3,4.2329
Jessica McNamee,2,3.2812
Emily Blunt,2,11.0522
Anya Taylor-Joy,2,12.1127
Ian McKellen,2,3.5639
Jon Bernthal,2,8.2564
Charlie Day,2,2.0271
Chris Evans,2,7.9069
Viggo Mortensen,2,6.5212
Chris Pratt,2,6.9273
Ludi Lin,2,3.1165
Maggie Gyllenhaal,2,3.25705
Mehcad Brooks,2,2.2532
Meryl Streep,2,7.1190999999999995
Michael Caine,2,2.9838
Milla Jovovich,2,9.69265
