movie_id,actor_id,actor_name,character,popularity
1007757,135651,Michael B. Jordan,Ollie (voice),6.6729
1007757,36594,Juno Temple,Ivy (voice),6.106
1007757,56903,Tracy Morgan,Boogle / Firewolf (voice),2.3706
1007757,5726,Cedric the Entertainer,Caloo (voice),2.1012
1007757,95517,Justina Machado,Calli (voice),1.7082
1226863,73457,Chris Pratt,Mario (voice),6.9273
1226863,1397778,Anya Taylor-Joy,Princess Peach (voice),12.1127
1226863,95101,Charlie Day,Luigi (voice),2.0271
1226863,70851,Jack Black,Bowser (voice),5.6394
1226863,119589,Donald Glover,Yoshi (voice),2.3891
687163,30614,Ryan Gosling,Ryland Grace,11.3027
687163,7152,Sandra Hüller,Eva Stratt,4.6218
687163,2096164,James Ortiz,Rocky (voice),2.6643
687163,2320708,Lionel Boyce,Carl,1.4559
687163,1454946,Milana Vayntrub,Olesya Ilyukhina,8.7642
1318447,6885,Charlize Theron,Sasha,10.312
1318447,1303037,Taron Egerton,Ben,21.1223
1318447,8783,Eric Bana,Tommy,4.4705
1318447,145245,Caitlin Stasey,Leah,1.1877
1318447,2933227,Bessie Holland,Cashier,0.5031
1439930,19498,Jon Bernthal,Frank Castle,8.2564
1439930,212154,Deborah Ann Woll,Karen Page,3.7745
1439930,555252,Jason R. Moore,Curtis Hoyle,0.4158
1439930,80415,Judith Light,Ma,1.7024
1439930,968851,Kelli Barrett,Maria Castle,0.7489
350,5064,Meryl Streep,Miranda Priestly,6.723
350,1813,Anne Hathaway,Andy Sachs,21.8986
350,5081,Emily Blunt,Emily,10.4353
350,2283,Stanley Tucci,Nigel,7.4704
350,1284159,Simon Baker,Christian Thompson,5.2352
1523145,5598110,Daniel Vegas,Барс,3.8077
1523145,5037367,Veronika Zhuravleva,Полина,3.5923
1523145,4508505,Ivan Trushin,Лэйм,0.8126
1523145,2007622,Maksim Saprykin,Леха,0.7522
1523145,5654199,Alya Mayer,Дилара,0.3778
1198994,53714,Rachel McAdams,Linda Liddle,7.667
1198994,527393,Dylan O'Brien,Bradley Preston,6.9223
1198994,4477127,Edyll Ismail,Zuri,1.1952
1198994,352,Dennis Haysbert,Franklin,2.1772
1198994,109438,Xavier Samuel,Donovan,1.0583
931285,1372,Karl Urban,Johnny Cage,12.5597
931285,2168270,Adeline Rudolph,Kitana,12.0991
931285,136347,Jessica McNamee,Sonya Blade,3.2812
931285,1525689,Ludi Lin,Liu Kang,3.1165
931285,51684,Mehcad Brooks,Jax,2.2532
1630423,127449,Pimchanok Luevisadpaibul,Lhan,2.2476
1630423,1536085,Thanapob Leeratanakachorn,Pran,1.7476
1630423,2247748,Sivakorn Adulsuttikul,M,1.3529
1630423,1341880,Chartayodom Hiranyatithi,Poh,1.4779
1630423,1177656,Theerachai Wimolchaireuk,Pruek,1.0043
1266127,1372369,Samara Weaving,Grace MacCaulley,8.0251
1266127,221192,Kathryn Newton,Faith MacCaulley,5.818
1266127,109,Elijah Wood,The Lawyer,4.395
1266127,11863,Sarah Michelle Gellar,Ursula Danforth,3.5773
1266127,52647,Shawn Hatosy,Titus Danforth,3.3715
83533,65731,Sam Worthington,Jake,4.924
83533,8691,Zoe Saldaña,Neytiri,7.5801
83533,10205,Sigourney Weaver,Kiri,6.3923
83533,32747,Stephen Lang,Quaritch,3.9233
83533,566331,Oona Chaplin,Varang,3.0413
1327819,1308818,Piper Curda,Mabel (voice),1.0803
1327819,452205,Bobby Moynihan,King George (voice),1.417
1327819,65717,Jon Hamm,Mayor Jerry Generazzo (voice),4.6862
1327819,11074,Kathy Najimy,Dr. Sam (voice),2.0835
1327819,54697,Dave Franco,Insect King (voice),4.1303
936075,3898497,Jaafar Jackson,Michael Jackson,7.1976
936075,91671,Colman Domingo,Joseph Jackson,4.8674
936075,9781,Nia Long,Katherine Jackson,4.9177
936075,4487890,Juliano Krue Valdi,Young Michael Jackson,0.9847
936075,996701,Miles Teller,John Branca,6.0032
1330021,35,Sally Field,Tova Sullivan,14.9028
1330021,1700685,Lewis Pullman,Cameron Cassmore,10.8519
1330021,17782,Colm Meaney,Ethan Mack,3.1988
1330021,6720,Joan Chen,Janice Kim,3.4922
1330021,1907,Kathy Baker,Mary Ann Minetti,2.058
1292415,1229432,Daniel MacPherson,Patton,1.661
1292415,216986,Luke Hemsworth,Gabriel,2.1031
1292415,934,Russell Crowe,Sammy,4.0467
1292415,1375499,Mojean Aria,Malon James,0.8169
1292415,1701014,Kelly Gale,Luciana,1.1395
10867,28782,Monica Bellucci,Malèna Scordia,13.7978
10867,67612,Giuseppe Sulfaro,Renato Amoroso,0.0
10867,67613,Luciano Federico,Renato's Father,0.3373
10867,67614,Matilde Piana,Renato's Mother,0.4424
