movie_id,title,release_date,rating,popularity,vote_count,language
1007757,Swapped,2026-05-01,8.945,444.1758,607,en
1226863,The Super Mario Galaxy Movie,2026-04-01,6.702,411.1512,814,en
1318447,Apex,2026-04-24,6.581,327.8417,873,en
687163,Project Hail Mary,2026-03-15,8.342,308.2764,2465,en
350,The Devil Wears Prada,2006-06-29,7.4,284.2322,13317,en
1198994,Send Help,2026-01-22,7.035,246.0221,1342,en
1523145,Your Heart Will Be Broken,2026-03-26,6.9,235.0864,76,ru
318256,Hot Girls Wanted,2015-01-24,6.1,229.8024,719,en
931285,Mortal Kombat II,2026-05-06,7.2,223.5434,123,en
1630423,My Dearest Assassin,2026-05-06,8.4,206.6206,74,th
1266127,Ready or Not 2: Here I Come,2026-03-19,7.5,190.3458,595,en
936075,Michael,2026-04-22,7.555,168.4406,651,en
83533,Avatar: Fire and Ash,2025-12-17,7.418,162.5228,2941,en
1327819,Hoppers,2026-03-04,7.908,162.295,926,en
10867,Malena,2000-10-27,7.436,158.5324,2535,it
1669050,Tayuan 2,2026-04-17,3.7,143.6367,3,tl
1330021,Remarkably Bright Creatures,2026-05-07,8.229,140.2924,118,en
1292415,Beast,2026-04-10,6.6,125.2547,16,en
1613798,Vengeance,2026-02-26,7.1,122.5138,155,es
1297842,GOAT,2026-02-11,7.99,119.8602,538,en
1241752,Rita,2024-03-22,6.1,118.0678,21,tl
1292695,They Will Kill You,2026-03-25,6.818,117.3888,446,en
1314481,The Devil Wears Prada 2,2026-04-29,6.762,115.0143,450,en
980431,Avatar Aang: The Last Airbender,2026-10-09,0.0,112.0215,0,en
460465,Mortal Kombat,2021-04-07,7.002,103.5703,6429,en
1290821,Shelter,2026-01-28,7.203,101.0727,795,en
1426822,Mortal Game,2025-02-03,7.667,99.543,3,en
1510745,Bodycam,2026-03-12,5.2,98.9451,42,en
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,7.705,97.6435,823,ja
1325734,The Drama,2026-03-26,7.0,94.3487,714,en
1084242,Zootopia 2,2025-11-26,7.625,93.9661,2712,en
1235192,Wormtown,2025-09-27,5.8,90.8193,11,en
1242898,Predator: Badlands,2025-11-05,7.697,85.0637,2782,en
1038918,Magistrate Woman Prison Collection II,1995-09-21,6.0,84.0245,1,ja
1414413,Brothers Under Fire,2026-04-15,6.2,82.6008,19,en
755898,War of the Worlds,2025-07-29,4.136,76.3991,982,en
249397,Nymphomaniac: Vol. II,2013-12-25,6.705,74.6389,3129,en
1419406,The Shadow's Edge,2025-08-16,7.27,69.009,623,zh
1173559,Insidious Inferno,2024-11-29,6.1,68.6923,15,en
510657,Wellwood,2025-03-24,5.6,67.6389,9,en
840464,Greenland 2: Migration,2026-01-07,6.404,67.2103,1010,en
1368166,The Housemaid,2025-12-18,7.234,67.5628,2058,en
1173559,Insidious Inferno,2024-11-29,6.1,68.6923,15,en
7451,xXx,2002-08-09,5.986,64.837,4883,en
249397,Nymphomaniac: Vol. II,2013-12-25,6.705,74.6389,3129,en
510657,Wellwood,2025-03-24,5.6,67.6389,9,en
1301421,The Sheep Detectives,2026-04-30,7.717,63.7158,30,en
1159559,Scream 7,2026-02-25,6.063,60.4388,867,en
157336,Interstellar,2014-11-05,8.471,61.6878,39624,en
1383731,Protector,2026-02-20,6.3,57.8643,50,en
78192,Michael Jackson: The Life of an Icon,2011-11-02,8.026,58.3011,155,en
1352874,The Crucifix: Blood of the Exorcist,2025-01-09,5.925,49.0958,40,en
609681,The Marvels,2023-11-08,5.94,43.4366,3355,en
82023,Hotel Desire,2011-12-07,6.171,47.8621,146,de
458293,Michael Jackson: Searching for Neverland,2017-05-29,6.541,51.6392,111,en
1084577,Balls Up,2026-04-15,5.808,50.2567,203,en
1265609,War Machine,2026-02-12,7.273,50.2403,1648,en
1534530,The Whisper,2026-01-22,6.875,48.8171,4,es
848116,Rocky Aur Rani Kii Prem Kahaani,2023-07-28,6.1,53.1128,85,hi
1601797,¿Quieres ser mi novia?,2026-02-12,8.5,47.09,81,es
1207162,Rise of the Conqueror,2026-04-09,5.9,55.417,10,en
441168,From Straight A's to XXX,2017-02-11,5.8,51.2621,160,en
1641319,Sniper: No Nation,2026-04-07,6.2,46.275,42,en
502356,The Super Mario Bros. Movie,2023-04-05,7.593,48.9096,10621,en
744275,After We Fell,2021-09-01,7.0,45.7512,2728,en
24428,The Avengers,2012-04-25,8.019,48.5949,37714,en
299536,Avengers: Infinity War,2018-04-25,8.234,46.8469,31886,en
976912,Graphic Desires,2023-08-31,6.879,43.9528,58,en
1177445,Cannibal Mukbang,2025-09-25,4.45,48.9333,10,en
278,The Shawshank Redemption,1994-09-23,8.72,50.8475,30299,en
1087040,Money Shot: The Pornhub Story,2023-03-15,5.8,42.7278,353,en
1110034,Kraken,2026-02-06,6.044,44.9275,34,no
1316092,"""Wuthering Heights""",2026-02-11,6.566,46.9681,925,en
1470130,The Mortuary Assistant,2026-02-13,5.423,40.5362,91,en
184314,Young & Beautiful,2013-08-21,6.503,48.2826,1318,fr
1038392,The Conjuring: Last Rites,2025-09-03,6.885,40.0026,1788,en
44980,Zero Woman 2,1995-09-05,5.0,24.786,8,ja
1317448,No Place to Be Single,2026-05-08,6.759,45.7723,29,it
73353,Man in the Mirror: The Michael Jackson Story,2004-08-06,6.3,38.3183,13,en
1368337,The Odyssey,2026-07-15,0.0,44.7349,0,en
911430,F1,2025-06-25,7.756,41.3764,3851,en
1688652,Gary,2026-05-05,6.9,42.42,15,en
91478,Minnesota Clay,1964-11-12,6.1,39.0206,37,it
334535,The Ticket,2016-10-09,5.679,38.556,95,en
680493,Return to Silent Hill,2026-01-21,5.4,34.1313,491,en
1196067,Worldbreaker,2025-10-30,5.924,38.6543,152,en
1234731,Anaconda,2025-12-24,5.878,40.1855,1115,en
1476740,Influencers,2025-07-26,6.53,34.4856,84,en
1010581,My Fault,2023-06-08,7.742,40.7779,4051,es
